temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth
32.85,15,1015.7,0.0,0.0,0.0,0,0,0,842.83,9.01,182.29,9.37,182.2,9.0,180.0,12.96,29.431577,22.38667,145.5468
3.39,76,1033.1,0.0,0.0,5.1,17,0,0,115.7,4.02,280.3,12.77,310.43,5.35,289.65,7.92,45.138232,75.142123,140.09075
10.16,67,1006.9,0.8,0.0,100.0,0,100,72,268.78,20.47,293.86,22.08,294.06,19.34,294.18,24.12,51.344107,50.122125,251.46141
30.44,20,1014.1,0.0,0.0,0.0,0,0,0,906.02,15.7,323.39,15.41,322.59,14.4,323.13,20.52,28.705939,25.788951,217.3182
10.17,54,1015.2,0.0,0.0,100.0,100,100,100,348.88,28.66,153.11,33.97,152.89,28.98,153.43,25.92,18.820769,32.917377,157.8094
23.9,40,1014.3,0.7,0.0,4.0,0,4,0,303.49,3.96,270.0,4.33,265.24,3.98,264.81,24.48,63.975691,63.920091,258.32475
-0.1,64,1020.2,0.0,0.0,100.0,0,92,100,453.01,30.93,39.81,31.39,40.82,29.87,40.6,32.04,18.114796,57.656717,196.48209
16.6,41,1013.2,0.0,0.0,100.0,100,100,100,329.3,25.12,207.3,29.31,207.82,24.95,206.57,33.84,37.425636,40.377913,235.80617
14.71,50,1023.2,0.0,0.0,100.0,0,0,100,686.19,13.78,40.76,14.02,41.88,13.28,40.6,15.48,13.603499,32.673605,184.92635
15.45,48,1022.6,0.0,0.0,100.0,0,0,100,589.18,15.27,45.0,16.04,45.91,15.02,45.97,18.0,21.84911,36.118277,210.50821
24.88,21,1009.7,0.0,0.0,0.0,0,0,0,656.82,18.84,223.45,21.48,219.56,20.24,218.5,31.32,49.539404,57.02427,243.48089
34.15,15,1016.8,0.0,0.0,0.0,0,0,0,927.38,14.08,212.47,15.08,213.31,14.28,213.69,14.76,32.410678,22.767802,223.92229
17.6,39,1020.9,0.0,0.0,10.0,0,10,10,161.09,28.41,171.25,36.16,170.26,29.12,171.47,30.96,74.801611,61.955841,83.589099
